1457413203165	2016-03-08 00:00:03	tilting:100	NOACTIVITYTYPE
1457413220590	2016-03-08 00:00:20	tilting:100	NOACTIVITYTYPE
1457413220677	2016-03-08 00:00:20	still:52;;on_bicycle:31;;on_foot:12;;walking:12;;unknown:6	NOACTIVITYTYPE
1457413236735	2016-03-08 00:00:36	tilting:100	NOACTIVITYTYPE
1457413251521	2016-03-08 00:00:51	still:43;;on_foot:25;;walking:25;;in_vehicle:23;;on_bicycle:5;;unknown:5	NOACTIVITYTYPE
1457413261345	2016-03-08 00:01:01	still:77;;in_vehicle:23	NOACTIVITYTYPE
1457413264986	2016-03-08 00:01:04	still:92;;in_vehicle:8	NOACTIVITYTYPE
1457413271010	2016-03-08 00:01:11	still:100	NOACTIVITYTYPE
1457413274920	2016-03-08 00:01:14	still:100	NOACTIVITYTYPE
1457413281003	2016-03-08 00:01:21	still:62;;in_vehicle:38	NOACTIVITYTYPE
1457413311499	2016-03-08 00:01:51	still:79;;in_vehicle:19;;on_foot:2;;walking:2	NOACTIVITYTYPE
1457413319878	2016-03-08 00:01:59	still:77;;in_vehicle:23	NOACTIVITYTYPE
1457413325043	2016-03-08 00:02:05	still:77;;in_vehicle:15;;on_foot:8;;walking:8	NOACTIVITYTYPE
1457413329886	2016-03-08 00:02:09	still:100	NOACTIVITYTYPE
1457413335882	2016-03-08 00:02:15	still:46;;in_vehicle:38;;on_bicycle:8;;unknown:8	NOACTIVITYTYPE
1457413341464	2016-03-08 00:02:21	still:85;;in_vehicle:15	NOACTIVITYTYPE
1457413344992	2016-03-08 00:02:24	still:69;;in_vehicle:31	NOACTIVITYTYPE
1457413350893	2016-03-08 00:02:30	still:69;;in_vehicle:31	NOACTIVITYTYPE
1457413354888	2016-03-08 00:02:34	still:100	NOACTIVITYTYPE
1457413360017	2016-03-08 00:02:40	still:92;;in_vehicle:8	NOACTIVITYTYPE
1457413365066	2016-03-08 00:02:45	still:92;;on_foot:8;;walking:8	NOACTIVITYTYPE
1457413369902	2016-03-08 00:02:49	still:85;;in_vehicle:15	NOACTIVITYTYPE
